code,Descriptor,Description
iint,Online Service Providers,The provision of services via the web or mobile applications or the provision of online IT solutions such as web hosting or operation of web search portals.
iecom,E-commerce,Selling goods or services online or via mobile applications. Includes establishments that provide platforms and support for such activities. Excludes establishments engaged exclusively in the development of such websites or applications.
itnsv,Sharing/On-demand Economy Services,"Establishments which through digital platforms enable peer-to-peer sharing, providing or exchanging services or underused assets as well as on-demand instant ordering and delivery services."
i7902,Telecommunication Services,"Operating, maintaining or providing access to facilities for the transmission of voice, data, text and video between network termination points and telecommunications reselling."
i79022,Wireless Telecommunications Services,"Operating, maintaining and providing access to primarily wireless telecommunication networks."
itsp,Transportation/Logistics,"Passenger and freight transportation via road, rail, water and air. Management of the flow of goods and materials between the point of origin and their destination."
iairtr,Air Transport,"Air freight transportation and air passenger transport, airports and airline support services."
i75,Airlines,"Provision of passenger transportation and freight services using aircraft, such as airplanes or helicopters."
i7502,Air Freight,Air transportation of cargo. Includes airmail carriers.
i7501,Passenger Airlines,Air transportation of passengers. Includes commuter and helicopter carriers (except scenic and sightseeing).
i764,Airports,"Operating and maintaining airports and flying fields; includes related support activities such as air traffic control, aircraft maintenance and baggage/cargo handling."
icargo,Freight Transport/Logistics,Providing freight and cargo transportation and transport logistics.
irailtr,Land Transport,Passenger and freight transportation via road or rail.
i71,Rail Transport,"Railway operators (except street railroads, commuter rail, urban rapid transit and scenic and sightseeing trains). Includes freight and passenger services. Track maintenance also included."
iship,Water Transport/Shipping,Marine and inland water transportation and shipping.
i74,Marine Transport,Providing deep sea transportation of passengers and/or goods (cargo/freight).
iutil,Utilities,"The generation, transmission or distribution of electricity, water or gas."
i17,Water Utilities,"Operating water treatment plants and/or operating water supply systems. The water supply system may include pumping stations, aqueducts and/or distribution mains. The water may be used for drinking, irrigation or other uses."
